[792, 613]
[folio, [297.0, 121.0, 86.0, 18.0], YASvdre9RI, 6459850]
[folio, [297.0, 139.0, 86.0, 18.0], YASvdre9RI, 6459850]
[paragraph, [157.0, 162.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 180.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 198.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 216.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 234.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 252.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 270.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 288.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 306.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 324.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 342.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 360.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 378.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 396.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 414.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 432.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 450.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 468.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 486.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 504.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 522.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 540.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 558.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 576.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 594.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 612.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 630.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 648.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 666.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 684.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 702.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
[paragraph, [157.0, 720.0, 357.0, 18.0], shoonya_0s7XUURSVSREMP, 6459850]
