[1650, 934]
[folio, [316.0, 91.0, 262.0, 36.0], pIpJVbM_1t, 5766597]
[ordered-list, [46.0, 151.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 187.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 223.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 259.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 295.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 331.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 367.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 403.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 439.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 475.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 511.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 547.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 583.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 619.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 655.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 691.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 727.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 763.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 799.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 835.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 871.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 907.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 943.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 979.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1015.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1051.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1087.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1123.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1159.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1195.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1231.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1267.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [46.0, 1303.0, 797.0, 36.0], shoonya_0sEUB6IRVJ6BI3, 5766597]
[ordered-list, [50.0, 1383.0, 793.0, 36.0], 2gwh2vVZEk, 5766597]
[ordered-list, [50.0, 1419.0, 793.0, 36.0], 2gwh2vVZEk, 5766597]
[ordered-list, [50.0, 1455.0, 793.0, 36.0], 2gwh2vVZEk, 5766597]
