[911, 559]
[paragraph, [35.0, 64.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 82.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 100.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 118.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 136.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 154.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 172.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 190.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 208.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 226.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 244.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 262.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 280.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 298.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 316.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 334.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 352.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 370.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 388.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 406.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 424.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 442.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 460.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 478.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 496.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 514.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 532.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 550.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [35.0, 568.0, 502.0, 18.0], shoonya_1sSAD3PSL75D6S, 5776651]
[paragraph, [37.0, 587.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 605.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 623.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 641.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 659.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 677.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 695.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 713.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 731.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 749.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 767.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 785.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 803.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 821.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 839.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 857.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
[paragraph, [37.0, 875.0, 505.0, 18.0], shoonya_0sW4VMQLW761GY, 5776651]
