[2180, 1610]
[paragraph, [779.0, 165.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 201.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 237.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 273.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 309.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 345.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 381.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 417.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 453.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 489.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 525.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [779.0, 561.0, 743.0, 36.0], shoonya_0sOAG22SP6M5LF, 5654240]
[paragraph, [13.0, 172.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [13.0, 208.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [13.0, 244.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [13.0, 280.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [13.0, 316.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [13.0, 352.0, 744.0, 36.0], shoonya_7sI83VKMR1XB8G, 5654240]
[paragraph, [20.0, 367.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 403.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 439.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 475.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 511.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 547.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 583.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 619.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 655.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 691.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 727.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 763.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 799.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [20.0, 835.0, 750.0, 36.0], shoonya_8sHUEEKHKEKCLD, 5654240]
[paragraph, [791.0, 610.0, 727.0, 36.0], shoonya_6sQL43K9EX25WI, 5654240]
[paragraph, [791.0, 646.0, 727.0, 36.0], shoonya_6sQL43K9EX25WI, 5654240]
[paragraph, [791.0, 682.0, 727.0, 36.0], shoonya_6sQL43K9EX25WI, 5654240]
[paragraph, [791.0, 718.0, 727.0, 36.0], shoonya_6sQL43K9EX25WI, 5654240]
[paragraph, [791.0, 754.0, 727.0, 36.0], shoonya_6sQL43K9EX25WI, 5654240]
[paragraph, [1029.0, 787.0, 490.0, 36.0], shoonya_1sROWMT0P3955G, 5654240]
[paragraph, [1029.0, 823.0, 490.0, 36.0], shoonya_1sROWMT0P3955G, 5654240]
[paragraph, [1029.0, 859.0, 490.0, 36.0], shoonya_1sROWMT0P3955G, 5654240]
[paragraph, [1029.0, 895.0, 490.0, 36.0], shoonya_1sROWMT0P3955G, 5654240]
[paragraph, [1029.0, 931.0, 490.0, 36.0], shoonya_1sROWMT0P3955G, 5654240]
