[1300, 900]
[folio, [284.0, 35.0, 300.0, 18.0], shoonya_3sOAOVSROOX3R9, 5731630]
[paragraph, [79.0, 99.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 117.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 135.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 153.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 171.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 189.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 207.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 225.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 243.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 261.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 279.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 297.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 315.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 333.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 351.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 369.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 387.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [79.0, 405.0, 715.0, 18.0], shoonya_0s0LHQIH56GGWG, 5731630]
[paragraph, [88.0, 440.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 458.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 476.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 494.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 512.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 530.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 548.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 566.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 584.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 602.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 620.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 638.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 656.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 674.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 692.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 710.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 728.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 746.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 764.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 782.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [88.0, 800.0, 715.0, 18.0], shoonya_4s8IEP7BCXQ89I, 5731630]
[paragraph, [94.0, 826.0, 716.0, 18.0], shoonya_1s2EY2F47R2HLH, 5731630]
[paragraph, [94.0, 844.0, 716.0, 18.0], shoonya_1s2EY2F47R2HLH, 5731630]
[paragraph, [94.0, 862.0, 716.0, 18.0], shoonya_1s2EY2F47R2HLH, 5731630]
[paragraph, [94.0, 880.0, 716.0, 18.0], shoonya_1s2EY2F47R2HLH, 5731630]
