[648, 414]
[folio, [243.0, 70.0, 95.0, 18.0], C5cnU1meWk, 6514697]
[paragraph, [47.0, 95.0, 315.0, 18.0], j4E9eQkJBn, 6514697]
[paragraph, [47.0, 113.0, 315.0, 18.0], j4E9eQkJBn, 6514697]
[paragraph, [47.0, 131.0, 315.0, 18.0], j4E9eQkJBn, 6514697]
[paragraph, [48.0, 161.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 179.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 197.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 215.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 233.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 251.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 269.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [48.0, 287.0, 314.0, 18.0], i9fJLZ3Gg2, 6514697]
[paragraph, [51.0, 317.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 335.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 353.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 371.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 389.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 407.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 425.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 443.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 461.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 479.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 497.0, 311.0, 18.0], qG7Jyk5Jon, 6514697]
[paragraph, [51.0, 517.0, 308.0, 18.0], epmCThow9o, 6514697]
[paragraph, [51.0, 535.0, 308.0, 18.0], epmCThow9o, 6514697]
[paragraph, [51.0, 553.0, 308.0, 18.0], epmCThow9o, 6514697]
