[1425, 1088]
[chapter-title, [107.0, 114.0, 691.0, 30.0], shoonya_8sSKWA8ZBRBEKG, 5759454]
[chapter-title, [107.0, 144.0, 691.0, 30.0], shoonya_8sSKWA8ZBRBEKG, 5759454]
[chapter-title, [107.0, 174.0, 691.0, 30.0], shoonya_8sSKWA8ZBRBEKG, 5759454]
[paragraph, [186.0, 286.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 304.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 322.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 340.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 358.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 376.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 394.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 412.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 430.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 448.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 466.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 484.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [186.0, 502.0, 682.0, 18.0], shoonya_6sXSED6BR8I2ZJ, 5759454]
[paragraph, [99.0, 600.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 618.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 636.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 654.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 672.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 690.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 708.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [99.0, 726.0, 853.0, 18.0], shoonya_3sJFF2VL4X0HEK, 5759454]
[paragraph, [96.0, 745.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 763.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 781.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 799.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 817.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 835.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 853.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 871.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 889.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 907.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 925.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 943.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[paragraph, [96.0, 961.0, 856.0, 18.0], shoonya_7s460118JFCE6Q, 5759454]
[sidebar, [480.0, 1041.0, 171.0, 18.0], Zod3uIMPE5, 5759454]
[sidebar, [480.0, 1059.0, 171.0, 18.0], Zod3uIMPE5, 5759454]
[sidebar, [480.0, 1077.0, 171.0, 18.0], Zod3uIMPE5, 5759454]
[paragraph, [89.0, 1204.0, 868.0, 18.0], shoonya_4sVBSBHS49UY4C, 5759454]
[paragraph, [89.0, 1222.0, 868.0, 18.0], shoonya_4sVBSBHS49UY4C, 5759454]
[paragraph, [89.0, 1240.0, 868.0, 18.0], shoonya_4sVBSBHS49UY4C, 5759454]
[paragraph, [89.0, 1258.0, 868.0, 18.0], shoonya_4sVBSBHS49UY4C, 5759454]
[paragraph, [89.0, 1276.0, 868.0, 18.0], shoonya_4sVBSBHS49UY4C, 5759454]
[folio, [799.0, 1354.0, 149.0, 18.0], Yd8hWpipyv, 5759454]
[folio, [799.0, 1372.0, 149.0, 18.0], Yd8hWpipyv, 5759454]
