[1571, 1128]
[section-title, [124.0, 81.0, 669.0, 49.5], 0k7LWtxXaM, 6472517]
[headline, [258.0, 186.0, 552.0, 37.5], kIZvYrXp9x, 6472517]
[headline, [258.0, 223.5, 552.0, 37.5], kIZvYrXp9x, 6472517]
[headline, [258.0, 261.0, 552.0, 37.5], kIZvYrXp9x, 6472517]
[headline, [258.0, 298.5, 552.0, 37.5], kIZvYrXp9x, 6472517]
[headline, [258.0, 336.0, 552.0, 37.5], kIZvYrXp9x, 6472517]
[sidebar, [122.0, 432.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 468.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 504.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 540.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 576.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 612.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 648.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 684.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[sidebar, [122.0, 720.0, 445.0, 36.0], AwVwf7YlTK, 6472517]
[figure-caption, [929.0, 1046.0, 101.0, 36.0], 85xpgCy5dD, 6472517]
[paragraph, [576.0, 1137.0, 452.0, 36.0], YTiifouCoL, 6472517]
[paragraph, [576.0, 1173.0, 452.0, 36.0], YTiifouCoL, 6472517]
[paragraph, [576.0, 1209.0, 452.0, 36.0], YTiifouCoL, 6472517]
[paragraph, [126.0, 1138.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1174.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1210.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1246.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1282.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1318.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [126.0, 1354.0, 444.0, 36.0], JYTa7S-5zV, 6472517]
[paragraph, [579.0, 1249.0, 451.0, 36.0], mfTlKS8TsW, 6472517]
[paragraph, [579.0, 1285.0, 451.0, 36.0], mfTlKS8TsW, 6472517]
[paragraph, [579.0, 1321.0, 451.0, 36.0], mfTlKS8TsW, 6472517]
[paragraph, [579.0, 1357.0, 451.0, 36.0], mfTlKS8TsW, 6472517]
[paragraph, [579.0, 1393.0, 451.0, 36.0], mfTlKS8TsW, 6472517]
