[2906, 2048]
[ordered-list, [222.0, 263.0, 1598.0, 46.5], sRG9C5YOIs, 6473918]
[ordered-list, [222.0, 309.5, 1598.0, 46.5], sRG9C5YOIs, 6473918]
[ordered-list, [222.0, 356.0, 1598.0, 46.5], sRG9C5YOIs, 6473918]
[ordered-list, [222.0, 402.5, 1598.0, 46.5], sRG9C5YOIs, 6473918]
[ordered-list, [222.0, 449.0, 1598.0, 46.5], sRG9C5YOIs, 6473918]
[paragraph, [217.0, 767.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 813.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 860.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 906.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 953.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 999.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1046.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1092.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1139.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1185.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1232.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1278.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1325.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1371.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1418.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1464.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1511.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1557.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1604.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1650.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1697.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1743.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1790.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1836.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1883.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1929.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 1976.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 2022.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 2069.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 2115.5, 1628.0, 46.5], 3DUrs08mO5, 6473918]
[paragraph, [217.0, 2162.0, 1628.0, 46.5], 3DUrs08mO5, 6473918]
