[1275, 750]
[folio, [282.0, 86.0, 183.0, 18.0], shoonya_2sPYG9PUMDLIA9, 5767574]
[folio, [282.0, 104.0, 183.0, 18.0], shoonya_2sPYG9PUMDLIA9, 5767574]
[paragraph, [59.0, 146.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 164.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 182.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 200.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 218.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 236.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 254.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 272.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 290.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 308.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 326.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 344.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 362.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 380.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 398.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 416.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
[paragraph, [59.0, 434.0, 634.0, 18.0], shoonya_1sC1N2IWWRIAI6, 5767574]
