[2339, 1653]
[paragraph, [387.0, 198.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 234.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 270.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 306.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 342.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 378.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 414.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 450.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 486.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 522.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 558.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 594.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 630.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 666.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 702.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 738.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 774.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 810.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 846.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [387.0, 882.0, 1073.0, 36.0], shoonya_0sPQFXGKR33WNX, 5733471]
[paragraph, [389.0, 956.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 992.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1028.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1064.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1100.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1136.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1172.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1208.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1244.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1280.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [389.0, 1316.0, 1072.0, 36.0], shoonya_2sNRS5U69G780Q, 5733471]
[paragraph, [388.0, 1369.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1405.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1441.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1477.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1513.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1549.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1585.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1621.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1657.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1693.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1729.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1765.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1801.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1837.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1873.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1909.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1945.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 1981.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 2017.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[paragraph, [388.0, 2053.0, 1069.0, 36.0], shoonya_1s2JHPH7GV9BXU, 5733471]
[folio, [861.0, 2181.0, 544.0, 36.0], shoonya_3sOVMJPLKJCYML, 5733471]
