[2200, 1700]
[paragraph, [548.0, 223.0, 490.0, 36.0], 3oASUOuYKt, 5687483]
[reference, [1045.0, 231.0, 155.0, 36.0], gLX4AMxgEp, 5687483]
[paragraph, [550.0, 293.0, 671.0, 36.0], J-LlLHYdOm, 5687483]
[paragraph, [550.0, 329.0, 671.0, 36.0], J-LlLHYdOm, 5687483]
[paragraph, [550.0, 365.0, 671.0, 36.0], J-LlLHYdOm, 5687483]
[paragraph, [279.0, 432.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 468.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 504.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 540.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 576.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 612.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 648.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 684.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 720.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 756.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 792.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 828.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 864.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 900.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 936.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 972.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 1008.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 1044.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 1080.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 1116.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [279.0, 1152.0, 1146.0, 36.0], shoonya_1s96QKM1OI3W3N, 5687483]
[paragraph, [278.0, 1249.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1285.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1321.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1357.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1393.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1429.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1465.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1501.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1537.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1573.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1609.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1645.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1681.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1717.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1753.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1789.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1825.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1861.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
[paragraph, [278.0, 1897.0, 1143.0, 36.0], shoonya_0s2WCEZNNCFUFX, 5687483]
