[1337, 839]
[folio, [343.0, 76.0, 148.0, 18.0], shoonya_0sXWY8OUIV6LT8, 5770328]
[folio, [343.0, 94.0, 148.0, 18.0], shoonya_0sXWY8OUIV6LT8, 5770328]
[paragraph, [415.0, 130.0, 338.0, 18.0], b3htFDsrcO, 5770328]
[paragraph, [415.0, 148.0, 338.0, 18.0], b3htFDsrcO, 5770328]
[paragraph, [415.0, 166.0, 338.0, 18.0], b3htFDsrcO, 5770328]
[paragraph, [69.0, 135.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 153.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 171.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 189.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 207.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 225.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 243.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 261.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 279.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 297.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 315.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [69.0, 333.0, 344.0, 18.0], HRlQ5nx5YL, 5770328]
[paragraph, [416.0, 190.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 208.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 226.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 244.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 262.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 280.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 298.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 316.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 334.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 352.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 370.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 388.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 406.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 424.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 442.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 460.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 478.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 496.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 514.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 532.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [416.0, 550.0, 350.0, 18.0], nz8-hjlDxS, 5770328]
[paragraph, [66.0, 355.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 373.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 391.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 409.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 427.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 445.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 463.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 481.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 499.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 517.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 535.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [66.0, 553.0, 351.0, 18.0], _1EDWiqBLP, 5770328]
[paragraph, [67.0, 572.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 590.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 608.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 626.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 644.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 662.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 680.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 698.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 716.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 734.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
[paragraph, [67.0, 752.0, 354.0, 18.0], gjMQWCiQwa, 5770328]
