[1004, 650]
[paragraph, [54.0, 105.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 123.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 141.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 159.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 177.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 195.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 213.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 231.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 249.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 267.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 285.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 303.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 321.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 339.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 357.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 375.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 393.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 411.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 429.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [54.0, 447.0, 534.0, 18.0], 3yeFLqtGli, 5740835]
[paragraph, [58.0, 474.0, 523.0, 18.0], y5ihzyHL60, 5740835]
[paragraph, [58.0, 492.0, 523.0, 18.0], y5ihzyHL60, 5740835]
[paragraph, [58.0, 510.0, 523.0, 18.0], y5ihzyHL60, 5740835]
[paragraph, [58.0, 528.0, 523.0, 18.0], y5ihzyHL60, 5740835]
[paragraph, [58.0, 546.0, 523.0, 18.0], y5ihzyHL60, 5740835]
[paragraph, [60.0, 579.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 597.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 615.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 633.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 651.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 669.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [60.0, 687.0, 518.0, 18.0], tzhkBTe0v0, 5740835]
[paragraph, [65.0, 715.0, 518.0, 18.0], 5Mb60EKn1S, 5740835]
[paragraph, [65.0, 733.0, 518.0, 18.0], 5Mb60EKn1S, 5740835]
[paragraph, [65.0, 751.0, 518.0, 18.0], 5Mb60EKn1S, 5740835]
[paragraph, [65.0, 769.0, 518.0, 18.0], 5Mb60EKn1S, 5740835]
[paragraph, [65.0, 787.0, 518.0, 18.0], 5Mb60EKn1S, 5740835]
[paragraph, [68.0, 812.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 830.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 848.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 866.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 884.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 902.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[paragraph, [68.0, 920.0, 526.0, 18.0], shoonya_1s3PKPEAR35SN9, 5740835]
[footnote, [354.0, 972.0, 242.0, 18.0], vYWOFsRa9i, 5740835]
