[2200, 1700]
[paragraph, [325.0, 228.0, 1002.0, 36.0], shoonya_1sWLYB7UK8GSC0, 5652051]
[paragraph, [325.0, 264.0, 1002.0, 36.0], shoonya_1sWLYB7UK8GSC0, 5652051]
[paragraph, [325.0, 300.0, 1002.0, 36.0], shoonya_1sWLYB7UK8GSC0, 5652051]
[paragraph, [325.0, 336.0, 1002.0, 36.0], shoonya_1sWLYB7UK8GSC0, 5652051]
[paragraph, [325.0, 372.0, 1002.0, 36.0], shoonya_1sWLYB7UK8GSC0, 5652051]
[paragraph, [310.0, 424.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 460.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 496.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 532.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 568.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 604.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [310.0, 640.0, 1047.0, 36.0], shoonya_2sOQDG0UN0NEF7, 5652051]
[paragraph, [282.0, 679.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 715.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 751.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 787.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 823.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 859.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 895.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [282.0, 931.0, 1080.0, 36.0], shoonya_3sQQ0LA7Y7TR7Q, 5652051]
[paragraph, [285.0, 981.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1017.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1053.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1089.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1125.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1161.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [285.0, 1197.0, 1082.0, 36.0], shoonya_0sT4YREUVO1UNM, 5652051]
[paragraph, [270.0, 1242.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1278.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1314.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1350.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1386.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1422.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1458.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [270.0, 1494.0, 1101.0, 36.0], 00YeM-DdPy, 5652051]
[paragraph, [273.0, 1541.0, 1098.0, 36.0], v-Q7GNylVj, 5652051]
[paragraph, [273.0, 1577.0, 1098.0, 36.0], v-Q7GNylVj, 5652051]
[paragraph, [273.0, 1613.0, 1098.0, 36.0], v-Q7GNylVj, 5652051]
[paragraph, [273.0, 1649.0, 1098.0, 36.0], v-Q7GNylVj, 5652051]
[paragraph, [273.0, 1685.0, 1098.0, 36.0], v-Q7GNylVj, 5652051]
[paragraph, [263.0, 1730.0, 1111.0, 36.0], lsywC3O5Bw, 5652051]
[paragraph, [263.0, 1766.0, 1111.0, 36.0], lsywC3O5Bw, 5652051]
[paragraph, [263.0, 1802.0, 1111.0, 36.0], lsywC3O5Bw, 5652051]
[paragraph, [263.0, 1838.0, 1111.0, 36.0], lsywC3O5Bw, 5652051]
[folio, [405.0, 1904.0, 108.0, 36.0], zd7zD8IVHN, 5652051]
