[1162, 749]
[folio, [312.0, 72.0, 142.0, 18.0], shoonya_3s15DJ4SGCW5IU, 5700049]
[paragraph, [68.0, 120.0, 607.0, 18.0], shoonya_2sIQTFI8TDKWM5, 5700049]
[paragraph, [68.0, 138.0, 607.0, 18.0], shoonya_2sIQTFI8TDKWM5, 5700049]
[paragraph, [68.0, 156.0, 607.0, 18.0], shoonya_2sIQTFI8TDKWM5, 5700049]
[paragraph, [68.0, 174.0, 607.0, 18.0], shoonya_2sIQTFI8TDKWM5, 5700049]
[paragraph, [68.0, 192.0, 607.0, 18.0], shoonya_2sIQTFI8TDKWM5, 5700049]
[paragraph, [74.0, 228.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 246.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 264.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 282.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 300.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 318.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 336.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 354.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 372.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 390.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 408.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 426.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 444.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 462.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 480.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 498.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 516.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [74.0, 534.0, 595.0, 18.0], shoonya_0sD18W9ZRBD0Z3, 5700049]
[paragraph, [64.0, 570.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 588.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 606.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 624.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 642.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 660.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 678.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 696.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 714.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 732.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 750.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 768.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 786.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 804.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 822.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 840.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 858.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 876.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 894.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 912.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 930.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 948.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 966.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 984.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 1002.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 1020.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 1038.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
[paragraph, [64.0, 1056.0, 610.0, 18.0], shoonya_1sHPA1YTBEZW7Y, 5700049]
