[2400, 1600]
[website-link, [978.0, 107.0, 239.0, 18.0], EadajvS8gx, 5660856]
[website-link, [978.0, 125.0, 239.0, 18.0], EadajvS8gx, 5660856]
[website-link, [1240.0, 112.0, 174.0, 18.0], shoonya_1s7IUP5Y1GT8QD, 5660856]
[website-link, [1240.0, 130.0, 174.0, 18.0], shoonya_1s7IUP5Y1GT8QD, 5660856]
[folio, [1154.0, 167.0, 263.0, 36.0], Q0N2CtY3vz, 5660856]
[paragraph, [161.0, 255.0, 1272.0, 36.0], LCz8HnBlI7, 5660856]
[paragraph, [161.0, 291.0, 1272.0, 36.0], LCz8HnBlI7, 5660856]
[paragraph, [161.0, 327.0, 1272.0, 36.0], LCz8HnBlI7, 5660856]
[paragraph, [161.0, 363.0, 1272.0, 36.0], LCz8HnBlI7, 5660856]
[paragraph, [161.0, 399.0, 1272.0, 36.0], LCz8HnBlI7, 5660856]
[paragraph, [305.0, 475.0, 840.0, 36.0], xosJZOmUJz, 5660856]
[ordered-list, [149.0, 545.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 581.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 617.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 653.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 689.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 725.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 761.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 797.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 833.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 869.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 905.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 941.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 977.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1013.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1049.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1085.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1121.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1157.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1193.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1229.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1265.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1301.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1337.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1373.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1409.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1445.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1481.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1517.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1553.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1589.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1625.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1661.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1697.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1733.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1769.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1805.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1841.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1877.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1913.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1949.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 1985.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2021.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2057.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2093.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2129.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2165.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[ordered-list, [149.0, 2201.0, 1310.0, 36.0], kCSGBLknHG, 5660856]
[footnote, [288.0, 2295.0, 1024.0, 36.0], shoonya_0s4EL5FLOC4PS5, 5660856]
