[3300, 2550]
[paragraph, [439.0, 293.0, 1832.0, 52.5], ikh59l9ONg, 5720856]
[paragraph, [439.0, 345.5, 1832.0, 52.5], ikh59l9ONg, 5720856]
[paragraph, [439.0, 398.0, 1832.0, 52.5], ikh59l9ONg, 5720856]
[ordered-list, [351.0, 470.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 522.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 575.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 627.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 680.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 732.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 785.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 837.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 890.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 942.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 995.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1047.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1100.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1152.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1205.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1257.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1310.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1362.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1415.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1467.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1520.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1572.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1625.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1677.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1730.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1782.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1835.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1887.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1940.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 1992.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2045.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2097.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2150.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2202.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2255.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2307.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2360.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2412.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2465.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2517.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2570.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2622.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2675.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2727.5, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
[ordered-list, [351.0, 2780.0, 1921.0, 52.5], shoonya_0sA7WFDQA4JCN3, 5720856]
