[1050, 880]
[headline, [81.0, 533.0, 747.0, 25.5], shoonya_6s4RXCWR9IPS0J, 5779982]
[headline, [81.0, 558.5, 747.0, 25.5], shoonya_6s4RXCWR9IPS0J, 5779982]
[headline, [81.0, 584.0, 747.0, 25.5], shoonya_6s4RXCWR9IPS0J, 5779982]
[paragraph, [445.0, 714.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 732.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 750.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 768.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 786.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 804.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 822.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 840.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 858.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 876.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 894.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 912.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 930.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 948.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 966.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 984.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [445.0, 1002.0, 356.0, 18.0], shoonya_0s0K09294FUNDA, 5779982]
[paragraph, [80.0, 715.0, 345.0, 18.0], shoonya_2sUYAHMWNPIQC4, 5779982]
[paragraph, [80.0, 733.0, 345.0, 18.0], shoonya_2sUYAHMWNPIQC4, 5779982]
[paragraph, [80.0, 751.0, 345.0, 18.0], shoonya_2sUYAHMWNPIQC4, 5779982]
[paragraph, [78.0, 778.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 796.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 814.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 832.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 850.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 868.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 886.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 904.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 922.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [78.0, 940.0, 348.0, 18.0], shoonya_1sW4ZJH1VUD8JC, 5779982]
[paragraph, [75.0, 949.0, 350.0, 18.0], shoonya_4s2N0FT4JF4O5A, 5779982]
[paragraph, [75.0, 967.0, 350.0, 18.0], shoonya_4s2N0FT4JF4O5A, 5779982]
[paragraph, [75.0, 985.0, 350.0, 18.0], shoonya_4s2N0FT4JF4O5A, 5779982]
[paragraph, [75.0, 1003.0, 350.0, 18.0], shoonya_4s2N0FT4JF4O5A, 5779982]
