[1754, 1240]
[section-title, [782.0, 161.0, 296.0, 49.5], v6yJXsw9xU, 5722238]
[paragraph, [776.0, 235.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 271.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 307.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 343.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 379.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 415.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 451.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 487.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 523.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 559.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 595.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 631.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 667.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 703.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[paragraph, [776.0, 739.0, 299.0, 36.0], shoonya_0sTYRXEXRPVEIU, 5722238]
[website-link, [46.0, 1691.0, 337.0, 18.0], 9KAKrLY1YR, 5722238]
