[2339, 1653]
[section-title, [825.0, 191.0, 195.0, 52.5], shoonya_5s1O5QZIGDCGCA, 5733617]
[chapter-title, [513.0, 301.0, 819.0, 70.5], M8X1qbtbgG, 5733617]
[chapter-title, [513.0, 371.5, 819.0, 70.5], M8X1qbtbgG, 5733617]
[paragraph, [389.0, 506.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 542.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 578.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 614.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 650.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 686.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 722.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 758.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 794.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 830.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 866.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 902.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[paragraph, [389.0, 938.0, 1069.0, 36.0], shoonya_0sSXW3HJ1ZRYHR, 5733617]
[section-title, [489.0, 1038.0, 496.0, 52.5], shoonya_2sL856RYJ1ZLQ2, 5733617]
[unordered-list, [492.0, 1100.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1136.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1172.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1208.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1244.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1280.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1316.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1352.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1388.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1424.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1460.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1496.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1532.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1568.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1604.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1640.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1676.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1712.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1748.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1784.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1820.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1856.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1892.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1928.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[unordered-list, [492.0, 1964.0, 987.0, 36.0], shoonya_1s05K7XE7DWDND, 5733617]
[folio, [1132.0, 2182.0, 264.0, 36.0], shoonya_4sKRLUXP158KPG, 5733617]
