[792, 612]
[headline, [67.0, 34.0, 138.0, 25.5], shoonya_11sDIJ2DFDCVL3, 5654204]
[headline, [67.0, 59.5, 138.0, 25.5], shoonya_11sDIJ2DFDCVL3, 5654204]
[headline, [67.0, 85.0, 138.0, 25.5], shoonya_11sDIJ2DFDCVL3, 5654204]
[paragraph, [306.0, 233.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 251.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 269.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 287.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 305.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 323.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 341.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 359.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 377.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [306.0, 395.0, 239.0, 18.0], shoonya_1sY9KO756NPTQO, 5654204]
[paragraph, [48.0, 457.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 475.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 493.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 511.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 529.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 547.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 565.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 583.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 601.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 619.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 637.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 655.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[paragraph, [48.0, 673.0, 191.0, 18.0], shoonya_2sY7IJZ3FCGA2Q, 5654204]
[folio, [71.0, 739.0, 62.0, 18.0], YMjAdlUOsQ, 5654204]
