[2339, 1656]
[paragraph, [187.0, 190.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 226.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 262.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 298.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 334.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 370.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 406.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 442.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 478.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 514.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 550.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 586.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 622.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 658.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 694.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 730.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 766.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 802.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 838.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 874.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 910.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 946.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 982.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1018.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1054.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1090.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1126.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1162.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1198.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1234.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1270.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1306.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1342.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1378.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1414.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1450.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1486.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1522.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1558.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [187.0, 1594.0, 1283.0, 36.0], shoonya_0sFJCJSL547HNH, 5753108]
[paragraph, [186.0, 1670.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1706.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1742.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1778.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1814.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1850.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1886.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1922.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1958.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 1994.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 2030.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[paragraph, [186.0, 2066.0, 1279.0, 36.0], Ew7RPzqrKE, 5753108]
[folio, [300.0, 2150.0, 467.0, 36.0], Tzi30aPRlB, 5753108]
