[2200, 1700]
[paragraph, [289.0, 250.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 286.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 322.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 358.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 394.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 430.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 466.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 502.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 538.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 574.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 610.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 646.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 682.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [289.0, 718.0, 1050.0, 36.0], shoonya_0sTSH1DIKV0ARQ, 5652154]
[paragraph, [387.0, 751.0, 163.0, 36.0], shoonya_2s21RIN7722ONZ, 5652154]
[paragraph, [279.0, 818.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 854.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 890.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 926.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 962.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 998.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1034.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1070.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1106.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1142.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1178.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1214.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1250.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1286.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1322.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1358.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1394.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1430.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1466.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1502.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1538.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1574.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1610.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1646.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1682.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1718.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1754.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1790.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[paragraph, [279.0, 1826.0, 1018.0, 36.0], shoonya_1sZCKE2QTNH6B5, 5652154]
[folio, [354.0, 1902.0, 106.0, 36.0], Rl3-UNj9Ko, 5652154]
