[1806, 1262]
[folio, [163.0, 97.0, 509.0, 36.0], shoonya_1sX1QYCOWTARMD, 5681160]
[paragraph, [97.0, 170.0, 501.0, 36.0], shoonya_3sQ5IGR7NQX8Y0, 5681160]
[paragraph, [97.0, 206.0, 501.0, 36.0], shoonya_3sQ5IGR7NQX8Y0, 5681160]
[paragraph, [97.0, 242.0, 501.0, 36.0], shoonya_3sQ5IGR7NQX8Y0, 5681160]
[paragraph, [654.0, 172.0, 506.0, 36.0], tKT7MiZz3-, 5681160]
[paragraph, [654.0, 208.0, 506.0, 36.0], tKT7MiZz3-, 5681160]
[paragraph, [654.0, 244.0, 506.0, 36.0], tKT7MiZz3-, 5681160]
[paragraph, [654.0, 280.0, 506.0, 36.0], tKT7MiZz3-, 5681160]
[paragraph, [653.0, 340.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 376.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 412.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 448.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 484.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 520.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 556.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 592.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 628.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 664.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 700.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 736.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 772.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 808.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [653.0, 844.0, 512.0, 36.0], u8jaba5Spa, 5681160]
[paragraph, [102.0, 394.0, 503.0, 36.0], shoonya_5sAO2ZND55FICB, 5681160]
[paragraph, [102.0, 430.0, 503.0, 36.0], shoonya_5sAO2ZND55FICB, 5681160]
[paragraph, [102.0, 466.0, 503.0, 36.0], shoonya_5sAO2ZND55FICB, 5681160]
[paragraph, [102.0, 502.0, 503.0, 36.0], shoonya_5sAO2ZND55FICB, 5681160]
[paragraph, [102.0, 538.0, 503.0, 36.0], shoonya_5sAO2ZND55FICB, 5681160]
[paragraph, [102.0, 577.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 613.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 649.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 685.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 721.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 757.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 793.0, 501.0, 36.0], shoonya_6sV9K4SNJ485RA, 5681160]
[paragraph, [102.0, 866.0, 500.0, 36.0], teUeX8D3Ak, 5681160]
[paragraph, [102.0, 902.0, 500.0, 36.0], teUeX8D3Ak, 5681160]
[paragraph, [102.0, 938.0, 500.0, 36.0], teUeX8D3Ak, 5681160]
[paragraph, [653.0, 904.0, 507.0, 36.0], kfyHqfCcad, 5681160]
