[1565, 1152]
[headline, [56.0, 46.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 83.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 121.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 158.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 196.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 233.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 271.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 308.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 346.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 383.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 421.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 458.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 496.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 533.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 571.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 608.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 646.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 683.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 721.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 758.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 796.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 833.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 871.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 908.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 946.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 983.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1021.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1058.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1096.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1133.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1171.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1208.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1246.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1283.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1321.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1358.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1396.0, 224.0, 37.5], VpAnxI1s09, 5722889]
[headline, [56.0, 1433.5, 224.0, 37.5], VpAnxI1s09, 5722889]
[ordered-list, [528.0, 63.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 99.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 135.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 171.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 207.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 243.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [528.0, 279.0, 623.0, 36.0], OriyTOzoP0, 5722889]
[ordered-list, [328.0, 67.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 103.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 139.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 175.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 211.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 247.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [328.0, 283.0, 167.0, 36.0], D1wOfzHWmV, 5722889]
[ordered-list, [331.0, 348.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 384.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 420.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 456.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 492.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 528.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [331.0, 564.0, 820.0, 36.0], ih8GPKmSLT, 5722889]
[ordered-list, [802.0, 649.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 685.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 721.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 757.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 793.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 829.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [802.0, 865.0, 112.0, 36.0], Ug-FmUenvU, 5722889]
[ordered-list, [936.0, 649.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 685.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 721.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 757.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 793.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 829.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
[ordered-list, [936.0, 865.0, 211.0, 36.0], 6Lw3wsOLGB, 5722889]
