[2806, 1983]
[paragraph, [225.0, 329.0, 768.0, 46.5], U7-xSqZ2YW, 5682190]
[paragraph, [225.0, 375.5, 768.0, 46.5], U7-xSqZ2YW, 5682190]
[paragraph, [225.0, 422.0, 768.0, 46.5], U7-xSqZ2YW, 5682190]
[paragraph, [225.0, 468.5, 768.0, 46.5], U7-xSqZ2YW, 5682190]
[paragraph, [225.0, 515.0, 768.0, 46.5], U7-xSqZ2YW, 5682190]
[paragraph, [223.0, 666.0, 1033.0, 46.5], eMfKqjhwjM, 5682190]
[paragraph, [230.0, 770.0, 760.0, 46.5], yp0X9F0-pb, 5682190]
[paragraph, [230.0, 816.5, 760.0, 46.5], yp0X9F0-pb, 5682190]
[paragraph, [230.0, 863.0, 760.0, 46.5], yp0X9F0-pb, 5682190]
[paragraph, [230.0, 909.5, 760.0, 46.5], yp0X9F0-pb, 5682190]
[paragraph, [230.0, 956.0, 760.0, 46.5], yp0X9F0-pb, 5682190]
[paragraph, [225.0, 1132.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1178.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1225.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1271.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1318.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1364.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1411.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1457.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1504.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1550.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1597.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1643.5, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [225.0, 1690.0, 1534.0, 46.5], LOl7dm_441, 5682190]
[paragraph, [223.0, 1935.0, 448.0, 46.5], 5PS45TLlCU, 5682190]
[paragraph, [223.0, 1981.5, 448.0, 46.5], 5PS45TLlCU, 5682190]
[paragraph, [223.0, 2028.0, 448.0, 46.5], 5PS45TLlCU, 5682190]
[paragraph, [223.0, 2203.0, 1556.0, 46.5], ZuQI4-B3gH, 5682190]
[paragraph, [223.0, 2249.5, 1556.0, 46.5], ZuQI4-B3gH, 5682190]
[paragraph, [223.0, 2296.0, 1556.0, 46.5], ZuQI4-B3gH, 5682190]
[paragraph, [223.0, 2342.5, 1556.0, 46.5], ZuQI4-B3gH, 5682190]
[paragraph, [223.0, 2389.0, 1556.0, 46.5], ZuQI4-B3gH, 5682190]
