[792, 612]
[folio, [266.0, 29.0, 66.0, 18.0], Y5v16Mg8ij, 6492968]
[paragraph, [89.0, 67.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 85.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 103.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 121.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 139.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 157.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 175.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 193.0, 414.0, 18.0], Fc0Z_YhANR, 6492968]
[paragraph, [89.0, 273.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 291.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 309.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 327.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 345.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 363.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 381.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 399.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 417.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 435.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 453.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 471.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 489.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 507.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 525.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 543.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 561.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 579.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 597.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 615.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 633.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 651.0, 406.0, 18.0], WuXv70QiUm, 6492968]
[paragraph, [89.0, 669.0, 406.0, 18.0], WuXv70QiUm, 6492968]
