[854, 612]
[folio, [201.0, 17.0, 139.0, 18.0], gNT0ejlEto, 6459708]
[paragraph, [50.0, 71.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 89.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 107.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 125.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 143.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 161.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 179.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 197.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 215.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 233.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 251.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 269.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 287.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 305.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 323.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 341.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 359.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 377.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 395.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 413.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 431.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 449.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 467.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 485.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 503.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 521.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 539.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 557.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 575.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 593.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 611.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 629.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 647.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 665.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 683.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 701.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 719.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 737.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 755.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
[paragraph, [50.0, 773.0, 453.0, 18.0], shoonya_0sQ0HQS3M1Q8YF, 6459708]
