[1600, 2134]
[section-title, [95.0, 109.0, 1464.0, 49.5], shoonya_3sC1RI2XWVHY9S, 5719529]
[section-title, [95.0, 158.5, 1464.0, 49.5], shoonya_3sC1RI2XWVHY9S, 5719529]
[section-title, [95.0, 208.0, 1464.0, 49.5], shoonya_3sC1RI2XWVHY9S, 5719529]
[sub-section-title, [1083.0, 340.0, 556.0, 36.0], shoonya_4sHTHKENFSY9PQ, 5719529]
[paragraph, [1093.0, 426.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1093.0, 462.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1093.0, 498.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1093.0, 534.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1093.0, 570.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1093.0, 606.0, 934.0, 36.0], shoonya_2s7Q4I84UKS3J9, 5719529]
[paragraph, [1095.0, 696.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 732.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 768.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 804.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 840.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 876.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 912.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 948.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 984.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1020.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1056.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1092.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1128.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1164.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1200.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1236.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1272.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1308.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1344.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
[paragraph, [1095.0, 1380.0, 929.0, 36.0], shoonya_0sXAMI0X4EC19B, 5719529]
