[1246, 896]
[paragraph, [88.0, 94.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 112.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 130.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 148.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 166.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 184.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 202.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 220.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 238.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 256.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [88.0, 274.0, 633.0, 18.0], shoonya_0sMAJ2I1YS4X34, 5776558]
[paragraph, [90.0, 296.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 314.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 332.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 350.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 368.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 386.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 404.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 422.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 440.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 458.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 476.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 494.0, 631.0, 18.0], shoonya_1sM3WWC2689S7K, 5776558]
[paragraph, [90.0, 521.0, 630.0, 18.0], shoonya_2sTCK4GM0P2XR1, 5776558]
[paragraph, [90.0, 539.0, 630.0, 18.0], shoonya_2sTCK4GM0P2XR1, 5776558]
[paragraph, [90.0, 557.0, 630.0, 18.0], shoonya_2sTCK4GM0P2XR1, 5776558]
[paragraph, [90.0, 575.0, 630.0, 18.0], shoonya_2sTCK4GM0P2XR1, 5776558]
[paragraph, [112.0, 596.0, 276.0, 18.0], shoonya_6sBK3UK2S6FCF5, 5776558]
[paragraph, [105.0, 620.0, 516.0, 18.0], shoonya_10sXJGENS9ADJ0, 5776558]
[paragraph, [93.0, 648.0, 623.0, 18.0], shoonya_5sBMAMFVY6OEEQ, 5776558]
[paragraph, [93.0, 666.0, 623.0, 18.0], shoonya_5sBMAMFVY6OEEQ, 5776558]
[paragraph, [94.0, 697.0, 623.0, 18.0], shoonya_7sLZYTX63HZL4U, 5776558]
[paragraph, [94.0, 715.0, 623.0, 18.0], shoonya_7sLZYTX63HZL4U, 5776558]
[paragraph, [113.0, 745.0, 530.0, 18.0], shoonya_8sFKR4OZ4HBZ5O, 5776558]
[paragraph, [115.0, 772.0, 345.0, 18.0], shoonya_4s4HAYBSM9P42L, 5776558]
[paragraph, [115.0, 797.0, 450.0, 18.0], shoonya_3sXYMZYYZZBFKA, 5776558]
[paragraph, [100.0, 821.0, 622.0, 18.0], shoonya_9sNVRB96NF7SES, 5776558]
[paragraph, [100.0, 839.0, 622.0, 18.0], shoonya_9sNVRB96NF7SES, 5776558]
[paragraph, [95.0, 865.0, 632.0, 18.0], shoonya_12s9U652YY36X0, 5776558]
[paragraph, [95.0, 883.0, 632.0, 18.0], shoonya_12s9U652YY36X0, 5776558]
[paragraph, [95.0, 901.0, 632.0, 18.0], shoonya_12s9U652YY36X0, 5776558]
[paragraph, [104.0, 918.0, 342.0, 18.0], TJvokauFxn, 5776558]
[paragraph, [83.0, 941.0, 591.0, 18.0], MybuHYTuiD, 5776558]
[paragraph, [88.0, 967.0, 644.0, 18.0], dRASUNwGs_, 5776558]
[paragraph, [88.0, 985.0, 644.0, 18.0], dRASUNwGs_, 5776558]
[paragraph, [88.0, 1003.0, 644.0, 18.0], dRASUNwGs_, 5776558]
[paragraph, [96.0, 1018.0, 635.0, 18.0], shoonya_13sRKUZAHYQ0A8, 5776558]
[paragraph, [96.0, 1036.0, 635.0, 18.0], shoonya_13sRKUZAHYQ0A8, 5776558]
[paragraph, [96.0, 1054.0, 635.0, 18.0], shoonya_13sRKUZAHYQ0A8, 5776558]
[paragraph, [96.0, 1072.0, 635.0, 18.0], shoonya_13sRKUZAHYQ0A8, 5776558]
