[872, 605]
[folio, [41.0, 39.0, 81.0, 18.0], shoonya_0sYFG9HKDLUQKB, 6456907]
[section-title, [256.0, 39.0, 104.0, 30.0], wkhXNIXyJq, 6456907]
[paragraph, [39.0, 78.0, 246.0, 18.0], 8PMfpM6PKP, 6456907]
[paragraph, [304.0, 79.0, 260.0, 18.0], WD-ALLSgGE, 6456907]
[paragraph, [42.0, 98.0, 255.0, 18.0], rsF_DIgNnn, 6456907]
[paragraph, [42.0, 116.0, 255.0, 18.0], rsF_DIgNnn, 6456907]
[paragraph, [302.0, 99.0, 236.0, 18.0], vrT1MnEEEf, 6456907]
[paragraph, [303.0, 118.0, 259.0, 18.0], ZpR-Fr92yr, 6456907]
[paragraph, [303.0, 136.0, 259.0, 18.0], ZpR-Fr92yr, 6456907]
[paragraph, [303.0, 154.0, 259.0, 18.0], ZpR-Fr92yr, 6456907]
[paragraph, [303.0, 172.0, 259.0, 18.0], ZpR-Fr92yr, 6456907]
[paragraph, [303.0, 190.0, 259.0, 18.0], ZpR-Fr92yr, 6456907]
[paragraph, [39.0, 134.0, 260.0, 18.0], 9Rj5BuNErY, 6456907]
[paragraph, [39.0, 152.0, 260.0, 18.0], 9Rj5BuNErY, 6456907]
[paragraph, [42.0, 169.0, 257.0, 18.0], t8HnS4TRoo, 6456907]
[paragraph, [42.0, 187.0, 257.0, 18.0], t8HnS4TRoo, 6456907]
[paragraph, [39.0, 205.0, 249.0, 18.0], T0U1nuKJCr, 6456907]
[paragraph, [39.0, 223.0, 249.0, 18.0], T0U1nuKJCr, 6456907]
[paragraph, [317.0, 220.0, 200.0, 18.0], h4qlmTAku0, 6456907]
[paragraph, [301.0, 240.0, 260.0, 18.0], b52RFrNH4A, 6456907]
[paragraph, [36.0, 242.0, 245.0, 18.0], aZZqVCJNrL, 6456907]
[paragraph, [301.0, 259.0, 249.0, 18.0], 2s9E1HNEs7, 6456907]
[paragraph, [301.0, 277.0, 249.0, 18.0], 2s9E1HNEs7, 6456907]
[paragraph, [42.0, 261.0, 260.0, 18.0], IJnvjB9m5_, 6456907]
[paragraph, [42.0, 279.0, 260.0, 18.0], IJnvjB9m5_, 6456907]
[paragraph, [42.0, 297.0, 260.0, 18.0], IJnvjB9m5_, 6456907]
[paragraph, [302.0, 300.0, 262.0, 18.0], CJBSnX-Xro, 6456907]
[paragraph, [302.0, 318.0, 262.0, 18.0], CJBSnX-Xro, 6456907]
[paragraph, [302.0, 336.0, 262.0, 18.0], CJBSnX-Xro, 6456907]
[paragraph, [302.0, 354.0, 262.0, 18.0], CJBSnX-Xro, 6456907]
[paragraph, [302.0, 372.0, 262.0, 18.0], CJBSnX-Xro, 6456907]
[paragraph, [39.0, 312.0, 262.0, 18.0], IDMfP337PB, 6456907]
[paragraph, [39.0, 330.0, 262.0, 18.0], IDMfP337PB, 6456907]
[paragraph, [39.0, 348.0, 262.0, 18.0], IDMfP337PB, 6456907]
[paragraph, [39.0, 366.0, 262.0, 18.0], IDMfP337PB, 6456907]
[paragraph, [38.0, 378.0, 263.0, 18.0], gkURkwoDZN, 6456907]
[paragraph, [38.0, 396.0, 263.0, 18.0], gkURkwoDZN, 6456907]
[paragraph, [316.0, 386.0, 213.0, 18.0], Rj9YU8431C, 6456907]
[paragraph, [300.0, 411.0, 214.0, 18.0], a28UX_Am3o, 6456907]
[paragraph, [41.0, 414.0, 261.0, 18.0], U1j8iKu0jk, 6456907]
[paragraph, [41.0, 432.0, 261.0, 18.0], U1j8iKu0jk, 6456907]
[paragraph, [311.0, 428.0, 224.0, 18.0], ppndO1UCAh, 6456907]
[paragraph, [37.0, 448.0, 265.0, 18.0], 8BA-AB5f9H, 6456907]
[paragraph, [37.0, 466.0, 265.0, 18.0], 8BA-AB5f9H, 6456907]
[paragraph, [299.0, 449.0, 261.0, 18.0], 8OOBDgs3BV, 6456907]
[paragraph, [299.0, 467.0, 261.0, 18.0], 8OOBDgs3BV, 6456907]
[paragraph, [38.0, 480.0, 262.0, 18.0], XXCs6BtrN5, 6456907]
[paragraph, [38.0, 498.0, 262.0, 18.0], XXCs6BtrN5, 6456907]
[paragraph, [38.0, 516.0, 262.0, 18.0], XXCs6BtrN5, 6456907]
[paragraph, [298.0, 484.0, 248.0, 18.0], iRd9VK4dHi, 6456907]
[paragraph, [301.0, 504.0, 198.0, 18.0], tQdPV84oCR, 6456907]
[paragraph, [303.0, 526.0, 264.0, 18.0], go36bsXC1N, 6456907]
[paragraph, [303.0, 544.0, 264.0, 18.0], go36bsXC1N, 6456907]
[paragraph, [34.0, 528.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 546.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 564.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 582.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 600.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 618.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [34.0, 636.0, 265.0, 18.0], wVqzmKyKtA, 6456907]
[paragraph, [301.0, 561.0, 267.0, 18.0], ouFuMM65nL, 6456907]
[paragraph, [301.0, 579.0, 267.0, 18.0], ouFuMM65nL, 6456907]
[paragraph, [300.0, 598.0, 245.0, 18.0], nUmMd5nMay, 6456907]
[paragraph, [294.0, 619.0, 221.0, 18.0], HnQfBBPm99, 6456907]
[paragraph, [302.0, 639.0, 259.0, 18.0], MzdqjX060I, 6456907]
[paragraph, [302.0, 657.0, 259.0, 18.0], MzdqjX060I, 6456907]
[reference, [32.0, 653.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 671.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 689.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 707.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 725.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 743.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 761.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 779.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[reference, [32.0, 797.0, 270.0, 18.0], 8zAUOeZiOw, 6456907]
[paragraph, [316.0, 676.0, 214.0, 18.0], 8MuJj3kpxU, 6456907]
[reference, [303.0, 696.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 714.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 732.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 750.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 768.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 786.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
[reference, [303.0, 804.0, 256.0, 18.0], ExXwG4xJ3e, 6456907]
