[906, 612]
[folio, [183.0, 31.0, 185.0, 18.0], 4Ys2nOaZ-Z, 6459767]
[folio, [183.0, 49.0, 185.0, 18.0], 4Ys2nOaZ-Z, 6459767]
[paragraph, [37.0, 89.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 107.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 125.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 143.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 161.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 179.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 197.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 215.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 233.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 251.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 269.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 287.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 305.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 323.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 341.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 359.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 377.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 395.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 413.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 431.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 449.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 467.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 485.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 503.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 521.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 539.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 557.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 575.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 593.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 611.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 629.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 647.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 665.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 683.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 701.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 719.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 737.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 755.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 773.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 791.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 809.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
[paragraph, [37.0, 827.0, 496.0, 18.0], shoonya_0sK5UMX31PWLMJ, 6459767]
