[1755, 1240]
[paragraph, [178.0, 185.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 221.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 257.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 293.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 329.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 365.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 401.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 437.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 473.0, 885.0, 36.0], shoonya_2sYNEUMIVY2QLU, 5703745]
[paragraph, [178.0, 554.0, 881.0, 36.0], shoonya_1sLA5QJVF0HJCZ, 5703745]
[paragraph, [178.0, 590.0, 881.0, 36.0], shoonya_1sLA5QJVF0HJCZ, 5703745]
[paragraph, [178.0, 626.0, 881.0, 36.0], shoonya_1sLA5QJVF0HJCZ, 5703745]
[paragraph, [178.0, 662.0, 881.0, 36.0], shoonya_1sLA5QJVF0HJCZ, 5703745]
[paragraph, [177.0, 750.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 786.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 822.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 858.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 894.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 930.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 966.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 1002.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 1038.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [177.0, 1074.0, 885.0, 36.0], shoonya_0s49NQ8FJ5P8AQ, 5703745]
[paragraph, [179.0, 1168.0, 881.0, 36.0], shoonya_4s8P0WJF27CDF5, 5703745]
[paragraph, [179.0, 1204.0, 881.0, 36.0], shoonya_4s8P0WJF27CDF5, 5703745]
[paragraph, [179.0, 1240.0, 881.0, 36.0], shoonya_4s8P0WJF27CDF5, 5703745]
[paragraph, [179.0, 1276.0, 881.0, 36.0], shoonya_4s8P0WJF27CDF5, 5703745]
[paragraph, [176.0, 1367.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
[paragraph, [176.0, 1403.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
[paragraph, [176.0, 1439.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
[paragraph, [176.0, 1475.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
[paragraph, [176.0, 1511.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
[paragraph, [176.0, 1547.0, 889.0, 36.0], shoonya_3sNJLCY4XWF3JS, 5703745]
