[842, 595]
[paragraph, [144.0, 161.0, 324.0, 18.0], shoonya_0s2YBXUEG3XPYJ, 6513682]
[paragraph, [144.0, 179.0, 324.0, 18.0], shoonya_0s2YBXUEG3XPYJ, 6513682]
[paragraph, [144.0, 197.0, 324.0, 18.0], shoonya_0s2YBXUEG3XPYJ, 6513682]
[paragraph, [144.0, 215.0, 324.0, 18.0], shoonya_0s2YBXUEG3XPYJ, 6513682]
[paragraph, [144.0, 233.0, 324.0, 18.0], shoonya_0s2YBXUEG3XPYJ, 6513682]
[paragraph, [143.0, 259.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 277.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 295.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 313.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 331.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 349.0, 325.0, 18.0], shoonya_1sEPYU4S47TJIB, 6513682]
[paragraph, [143.0, 383.0, 325.0, 18.0], J2GiQPr_RS, 6513682]
[paragraph, [143.0, 401.0, 325.0, 18.0], J2GiQPr_RS, 6513682]
[paragraph, [143.0, 419.0, 325.0, 18.0], J2GiQPr_RS, 6513682]
[reference, [142.0, 465.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 483.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 501.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 519.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 537.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 555.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
[reference, [142.0, 573.0, 330.0, 18.0], shoonya_11sDEQZCW75549, 6513682]
