[1387, 987]
[paragraph, [85.0, 95.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 113.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 131.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 149.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 167.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 185.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 203.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 221.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 239.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [85.0, 257.0, 800.0, 18.0], shoonya_0sTUR7012XLHE4, 5651708]
[paragraph, [86.0, 280.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 298.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 316.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 334.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 352.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 370.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 388.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 406.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 424.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 442.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 460.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 478.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 496.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 514.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 532.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 550.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 568.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 586.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 604.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 622.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 640.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [86.0, 658.0, 778.0, 18.0], eudddE-Itd, 5651708]
[paragraph, [83.0, 702.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 720.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 738.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 756.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 774.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 792.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 810.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 828.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 846.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 864.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 882.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 900.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 918.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 936.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 954.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 972.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [83.0, 990.0, 798.0, 18.0], FP6ryzP1zl, 5651708]
[paragraph, [87.0, 1020.0, 152.0, 18.0], ZoKKd2c7Pn, 5651708]
[paragraph, [87.0, 1038.0, 152.0, 18.0], ZoKKd2c7Pn, 5651708]
[paragraph, [90.0, 1083.0, 325.0, 18.0], LKRJsGd6zf, 5651708]
[paragraph, [90.0, 1101.0, 325.0, 18.0], LKRJsGd6zf, 5651708]
