[1606, 1056]
[folio, [108.0, 99.0, 217.0, 36.0], 7yXZKFTbM2, 5683423]
[paragraph, [250.0, 156.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 192.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 228.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 264.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 300.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 336.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 372.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 408.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 444.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 480.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 516.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 552.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 588.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 624.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 660.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 696.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 732.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 768.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 804.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 840.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 876.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 912.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 948.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 984.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1020.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1056.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1092.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1128.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1164.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1200.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1236.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1272.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
[paragraph, [250.0, 1308.0, 423.0, 36.0], shoonya_0sZ4DAX4KABT6T, 5683423]
