[1518, 1075]
[paragraph, [555.0, 174.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 210.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 246.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 282.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 318.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 354.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 390.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 426.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 462.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 498.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 534.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 570.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 606.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 642.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 678.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 714.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 750.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 786.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 822.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 858.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 894.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 930.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 966.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1002.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1038.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1074.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1110.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1146.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1182.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1218.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1254.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [555.0, 1290.0, 430.0, 36.0], shoonya_1sFD75M9CUO7WN, 5722274]
[paragraph, [117.0, 179.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 215.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 251.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 287.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 323.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 359.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 395.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 431.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 467.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 503.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 539.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 575.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 611.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 647.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 683.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 719.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 755.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 791.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 827.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 863.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 899.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 935.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 971.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 1007.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 1043.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 1079.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [117.0, 1115.0, 426.0, 36.0], shoonya_0s7YCBEPNT7XKK, 5722274]
[paragraph, [115.0, 1202.0, 424.0, 36.0], shoonya_5sMIPD0AP0LQLZ, 5722274]
[paragraph, [115.0, 1238.0, 424.0, 36.0], shoonya_5sMIPD0AP0LQLZ, 5722274]
[paragraph, [115.0, 1274.0, 424.0, 36.0], shoonya_5sMIPD0AP0LQLZ, 5722274]
[folio, [197.0, 1390.0, 415.0, 36.0], shoonya_4sF0DWXN8NWGYN, 5722274]
