[1162, 749]
[folio, [304.0, 75.0, 130.0, 18.0], shoonya_1sGXESPUCMUHUE, 5699540]
[paragraph, [78.0, 120.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 138.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 156.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 174.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 192.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 210.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 228.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 246.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 264.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 282.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 300.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 318.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 336.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 354.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 372.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 390.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 408.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 426.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 444.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 462.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 480.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 498.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 516.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 534.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 552.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 570.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 588.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 606.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 624.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 642.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 660.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 678.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 696.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 714.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 732.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 750.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 768.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 786.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
[paragraph, [78.0, 804.0, 589.0, 18.0], shoonya_0sYT9LGL2GYZLZ, 5699540]
