[2339, 1653]
[folio, [1008.0, 122.0, 486.0, 36.0], shoonya_2sWJMHH449A2GI, 5685659]
[folio, [1008.0, 158.0, 486.0, 36.0], shoonya_2sWJMHH449A2GI, 5685659]
[paragraph, [363.0, 245.0, 1128.0, 36.0], shoonya_0s6YZUYJLS0FU3, 5685659]
[paragraph, [363.0, 281.0, 1128.0, 36.0], shoonya_0s6YZUYJLS0FU3, 5685659]
[ordered-list, [314.0, 368.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 404.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 440.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 476.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 512.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 548.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 584.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 620.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 656.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 692.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 728.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 764.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 800.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 836.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 872.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 908.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 944.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 980.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1016.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1052.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1088.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1124.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1160.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1196.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1232.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1268.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1304.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1340.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1376.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1412.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1448.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1484.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1520.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1556.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1592.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1628.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1664.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1700.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1736.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1772.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1808.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
[ordered-list, [314.0, 1844.0, 1181.0, 36.0], KEcnhVT6sI, 5685659]
