[1806, 1262]
[folio, [170.0, 98.0, 513.0, 36.0], shoonya_1sYQG3OP9PS9EM, 5681487]
[paragraph, [103.0, 169.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 205.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 241.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 277.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 313.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 349.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 385.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 421.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 457.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 493.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 529.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 565.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 601.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [103.0, 637.0, 509.0, 36.0], shoonya_3sD3XKAJII7RX6, 5681487]
[paragraph, [655.0, 174.0, 508.0, 36.0], shoonya_6sLX5WBAWE80I0, 5681487]
[paragraph, [655.0, 210.0, 508.0, 36.0], shoonya_6sLX5WBAWE80I0, 5681487]
[paragraph, [655.0, 246.0, 508.0, 36.0], shoonya_6sLX5WBAWE80I0, 5681487]
[paragraph, [655.0, 282.0, 508.0, 36.0], shoonya_6sLX5WBAWE80I0, 5681487]
[paragraph, [655.0, 318.0, 508.0, 36.0], shoonya_6sLX5WBAWE80I0, 5681487]
[paragraph, [653.0, 365.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 401.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 437.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 473.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 509.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 545.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 581.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 617.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 653.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 689.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 725.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
[paragraph, [653.0, 761.0, 513.0, 36.0], 0jPDiFcKRk, 5681487]
