[2230, 1704]
[paragraph, [882.0, 160.0, 767.0, 36.0], shoonya_11s8W6TTP1LCH1, 5654154]
[paragraph, [882.0, 196.0, 767.0, 36.0], shoonya_11s8W6TTP1LCH1, 5654154]
[paragraph, [68.0, 164.0, 505.0, 36.0], shoonya_10sJPT6O8IBRMA, 5654154]
[paragraph, [72.0, 213.0, 787.0, 36.0], shoonya_4sN0GCH95M8WWX, 5654154]
[paragraph, [72.0, 249.0, 787.0, 36.0], shoonya_4sN0GCH95M8WWX, 5654154]
[paragraph, [72.0, 285.0, 787.0, 36.0], shoonya_4sN0GCH95M8WWX, 5654154]
[paragraph, [72.0, 321.0, 787.0, 36.0], shoonya_4sN0GCH95M8WWX, 5654154]
[paragraph, [72.0, 357.0, 787.0, 36.0], shoonya_4sN0GCH95M8WWX, 5654154]
[paragraph, [882.0, 260.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 296.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 332.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 368.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 404.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 440.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 476.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [882.0, 512.0, 773.0, 36.0], shoonya_5sUJMYLUW8RL9H, 5654154]
[paragraph, [81.0, 409.0, 781.0, 36.0], shoonya_6sXSAG7GIZOB0L, 5654154]
[paragraph, [81.0, 445.0, 781.0, 36.0], shoonya_6sXSAG7GIZOB0L, 5654154]
[paragraph, [81.0, 481.0, 781.0, 36.0], shoonya_6sXSAG7GIZOB0L, 5654154]
[paragraph, [81.0, 517.0, 781.0, 36.0], shoonya_6sXSAG7GIZOB0L, 5654154]
[paragraph, [81.0, 553.0, 781.0, 36.0], shoonya_6sXSAG7GIZOB0L, 5654154]
[paragraph, [950.0, 552.0, 707.0, 36.0], shoonya_12sGD9YMEEREMC, 5654154]
[paragraph, [1114.0, 593.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 629.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 665.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 701.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 737.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 773.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 809.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 845.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [1114.0, 881.0, 552.0, 36.0], shoonya_7sQTRVGLBWPIGW, 5654154]
[paragraph, [80.0, 600.0, 745.0, 36.0], shoonya_15sTTX11OBMO6W, 5654154]
[paragraph, [80.0, 636.0, 745.0, 36.0], shoonya_15sTTX11OBMO6W, 5654154]
[paragraph, [74.0, 688.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 724.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 760.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 796.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 832.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 868.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 904.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
[paragraph, [74.0, 940.0, 610.0, 36.0], shoonya_17sOJRBQL5MJ7Q, 5654154]
