[581, 402]
[folio, [154.0, 7.0, 79.0, 18.0], 2T9TQt5K2l, 6494956]
[paragraph, [42.0, 27.0, 313.0, 18.0], GscifCWcJB, 6494956]
[paragraph, [42.0, 45.0, 313.0, 18.0], GscifCWcJB, 6494956]
[paragraph, [42.0, 63.0, 313.0, 18.0], GscifCWcJB, 6494956]
[paragraph, [42.0, 81.0, 313.0, 18.0], GscifCWcJB, 6494956]
[paragraph, [42.0, 99.0, 313.0, 18.0], GscifCWcJB, 6494956]
[paragraph, [50.0, 135.0, 300.0, 18.0], ZRHi3G4ai2, 6494956]
[paragraph, [50.0, 153.0, 300.0, 18.0], ZRHi3G4ai2, 6494956]
[paragraph, [50.0, 171.0, 300.0, 18.0], ZRHi3G4ai2, 6494956]
[paragraph, [50.0, 189.0, 300.0, 18.0], ZRHi3G4ai2, 6494956]
[paragraph, [36.0, 219.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 237.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 255.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 273.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 291.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 309.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 327.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 345.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 363.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 381.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 399.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 417.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 435.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 453.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 471.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 489.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
[paragraph, [36.0, 507.0, 321.0, 18.0], KVWBfFm9sy, 6494956]
