[2481, 1654]
[folio, [345.0, 107.0, 121.0, 36.0], 7yuu3yNZcf, 5721688]
[paragraph, [225.0, 215.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 251.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 287.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 323.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 359.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 395.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 431.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 467.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 503.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 539.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 575.0, 1273.0, 36.0], NHE0QDRc61, 5721688]
[paragraph, [225.0, 632.0, 1265.0, 36.0], 9wxVzrIuVJ, 5721688]
[paragraph, [225.0, 668.0, 1265.0, 36.0], 9wxVzrIuVJ, 5721688]
[paragraph, [225.0, 704.0, 1265.0, 36.0], 9wxVzrIuVJ, 5721688]
[paragraph, [225.0, 740.0, 1265.0, 36.0], 9wxVzrIuVJ, 5721688]
[paragraph, [227.0, 789.0, 1259.0, 36.0], v7JAkltLlY, 5721688]
[paragraph, [227.0, 825.0, 1259.0, 36.0], v7JAkltLlY, 5721688]
[paragraph, [227.0, 861.0, 1259.0, 36.0], v7JAkltLlY, 5721688]
[paragraph, [227.0, 897.0, 1259.0, 36.0], v7JAkltLlY, 5721688]
[paragraph, [227.0, 933.0, 1259.0, 36.0], v7JAkltLlY, 5721688]
[paragraph, [225.0, 998.0, 1269.0, 36.0], YSLBHqbgNe, 5721688]
[paragraph, [225.0, 1034.0, 1269.0, 36.0], YSLBHqbgNe, 5721688]
[paragraph, [225.0, 1070.0, 1269.0, 36.0], YSLBHqbgNe, 5721688]
[paragraph, [225.0, 1106.0, 1269.0, 36.0], YSLBHqbgNe, 5721688]
[paragraph, [226.0, 1159.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1195.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1231.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1267.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1303.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1339.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1375.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1411.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1447.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1483.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1519.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1555.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [226.0, 1591.0, 1262.0, 36.0], shoonya_1sCX5ZIGFH5WDR, 5721688]
[paragraph, [227.0, 1630.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1666.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1702.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1738.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1774.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1810.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1846.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1882.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1918.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1954.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 1990.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 2026.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 2062.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 2098.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
[paragraph, [227.0, 2134.0, 1260.0, 36.0], shoonya_2s14ZU1WASK6ZH, 5721688]
