[1755, 1240]
[paragraph, [214.0, 143.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 179.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 215.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 251.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 287.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 323.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 359.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 395.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 431.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [214.0, 467.0, 890.0, 36.0], shoonya_0sXN5UHU3JVTYD, 5693385]
[paragraph, [218.0, 565.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 601.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 637.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 673.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 709.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 745.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 781.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 817.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 853.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 889.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 925.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 961.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 997.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1033.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1069.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1105.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1141.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1177.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1213.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1249.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1285.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1321.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1357.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1393.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1429.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1465.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1501.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
[paragraph, [218.0, 1537.0, 882.0, 36.0], shoonya_1sQ5EERB04KHXJ, 5693385]
