[2314, 1809]
[paragraph, [460.0, 195.0, 1171.0, 36.0], shoonya_4s6JNH1X39W3KY, 5733741]
[paragraph, [460.0, 231.0, 1171.0, 36.0], shoonya_4s6JNH1X39W3KY, 5733741]
[paragraph, [460.0, 267.0, 1171.0, 36.0], shoonya_4s6JNH1X39W3KY, 5733741]
[paragraph, [460.0, 303.0, 1171.0, 36.0], shoonya_4s6JNH1X39W3KY, 5733741]
[paragraph, [455.0, 403.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 439.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 475.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 511.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 547.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 583.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 619.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 655.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 691.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 727.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 763.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 799.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 835.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 871.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 907.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 943.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [455.0, 979.0, 1174.0, 36.0], shoonya_1sHGAZ8CIG0NYV, 5733741]
[paragraph, [452.0, 1079.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1115.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1151.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1187.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1223.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1259.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1295.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1331.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [452.0, 1367.0, 1179.0, 36.0], shoonya_2s2EAOLV3Z2HPS, 5733741]
[paragraph, [449.0, 1456.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1492.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1528.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1564.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1600.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1636.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1672.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1708.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1744.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1780.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1816.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1852.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1888.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
[paragraph, [449.0, 1924.0, 1183.0, 36.0], shoonya_0sTQVSWC55CTNM, 5733741]
