[1275, 750]
[folio, [247.0, 87.0, 247.0, 18.0], 7B_Bn10Q7W, 5767198]
[folio, [247.0, 105.0, 247.0, 18.0], 7B_Bn10Q7W, 5767198]
[paragraph, [48.0, 159.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 177.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 195.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 213.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 231.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 249.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 267.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 285.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 303.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 321.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 339.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 357.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 375.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 393.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 411.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 429.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 447.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 465.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 483.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 501.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 519.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 537.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 555.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 573.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 591.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 609.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 627.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 645.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 663.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 681.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 699.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 717.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 735.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 753.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 771.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 789.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 807.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[paragraph, [48.0, 825.0, 642.0, 18.0], shoonya_1sFHPZ52PB7OF4, 5767198]
[section-title, [131.0, 860.0, 474.0, 30.0], TKVx_4nbLe, 5767198]
[paragraph, [96.0, 925.0, 465.0, 18.0], 1yiqgr_9G0, 5767198]
[paragraph, [96.0, 943.0, 465.0, 18.0], 1yiqgr_9G0, 5767198]
[paragraph, [96.0, 961.0, 465.0, 18.0], 1yiqgr_9G0, 5767198]
[paragraph, [96.0, 979.0, 465.0, 18.0], 1yiqgr_9G0, 5767198]
[paragraph, [67.0, 1011.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1029.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1047.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1065.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1083.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1101.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1119.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1137.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1155.0, 607.0, 18.0], Iww41_YLWe, 5767198]
[paragraph, [67.0, 1173.0, 607.0, 18.0], Iww41_YLWe, 5767198]
