[792, 612]
[folio, [222.0, 55.0, 128.0, 18.0], gliOfdnjwg, 6496085]
[paragraph, [149.0, 90.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 108.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 126.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 144.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 162.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 180.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [149.0, 198.0, 272.0, 18.0], _KvfRmYgum, 6496085]
[paragraph, [153.0, 229.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 247.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 265.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 283.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 301.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 319.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 337.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [153.0, 355.0, 268.0, 18.0], EUR1ISkOlL, 6496085]
[paragraph, [152.0, 390.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 408.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 426.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 444.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 462.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 480.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 498.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 516.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 534.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 552.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 570.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [152.0, 588.0, 266.0, 18.0], bnzK7ezeDD, 6496085]
[paragraph, [155.0, 618.0, 273.0, 18.0], cCJmG4Qruj, 6496085]
[paragraph, [155.0, 636.0, 273.0, 18.0], cCJmG4Qruj, 6496085]
[paragraph, [155.0, 654.0, 273.0, 18.0], cCJmG4Qruj, 6496085]
[paragraph, [155.0, 672.0, 273.0, 18.0], cCJmG4Qruj, 6496085]
[paragraph, [155.0, 690.0, 273.0, 18.0], cCJmG4Qruj, 6496085]
