[1606, 1056]
[folio, [102.0, 96.0, 226.0, 36.0], zR4v_xAPNc, 5684024]
[folio, [446.0, 96.0, 164.0, 36.0], BeuqyWHmPq, 5684024]
[paragraph, [241.0, 151.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 187.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 223.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 259.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 295.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 331.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 367.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 403.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 439.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 475.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 511.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 547.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 583.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 619.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 655.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 691.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 727.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 763.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 799.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 835.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 871.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 907.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 943.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 979.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1015.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1051.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1087.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1123.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1159.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1195.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1231.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1267.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1303.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1339.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1375.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1411.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
[paragraph, [241.0, 1447.0, 468.0, 36.0], nJnRlyAgSe, 5684024]
