[1759, 1162]
[folio, [231.0, 158.0, 256.0, 36.0], shoonya_5sRBS3QLACLACP, 5654983]
[paragraph, [225.0, 226.0, 801.0, 36.0], shoonya_2sG3DWALR3G9GG, 5654983]
[paragraph, [225.0, 262.0, 801.0, 36.0], shoonya_2sG3DWALR3G9GG, 5654983]
[paragraph, [225.0, 298.0, 801.0, 36.0], shoonya_2sG3DWALR3G9GG, 5654983]
[paragraph, [225.0, 334.0, 801.0, 36.0], shoonya_2sG3DWALR3G9GG, 5654983]
[paragraph, [236.0, 404.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 440.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 476.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 512.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 548.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 584.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 620.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 656.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 692.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 728.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 764.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 800.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 836.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 872.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 908.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 944.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 980.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 1016.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 1052.0, 795.0, 36.0], shoonya_1sLLXXR96YJ4JU, 5654983]
[paragraph, [236.0, 1122.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1158.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1194.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1230.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1266.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1302.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1338.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1374.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1410.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1446.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[paragraph, [236.0, 1482.0, 803.0, 36.0], shoonya_0s7AJKNHABRLJT, 5654983]
[reference, [252.0, 1523.0, 781.0, 36.0], shoonya_4sSPCLVQL69KI7, 5654983]
[reference, [252.0, 1559.0, 781.0, 36.0], shoonya_4sSPCLVQL69KI7, 5654983]
[reference, [252.0, 1595.0, 781.0, 36.0], shoonya_4sSPCLVQL69KI7, 5654983]
[contact-info, [366.0, 1674.0, 422.0, 36.0], FUy9lsfSfE, 5654983]
