[2339, 1653]
[section-title, [826.0, 196.0, 200.0, 52.5], shoonya_6s2L6SFH8PXHRM, 5733650]
[chapter-title, [449.0, 293.0, 952.0, 70.5], shoonya_7sM7YRDRM7LXTL, 5733650]
[paragraph, [388.0, 421.0, 1073.0, 36.0], shoonya_5sT2XETDDOLAN7, 5733650]
[paragraph, [388.0, 457.0, 1073.0, 36.0], shoonya_5sT2XETDDOLAN7, 5733650]
[paragraph, [388.0, 493.0, 1073.0, 36.0], shoonya_5sT2XETDDOLAN7, 5733650]
[paragraph, [388.0, 529.0, 1073.0, 36.0], shoonya_5sT2XETDDOLAN7, 5733650]
[paragraph, [390.0, 603.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 639.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 675.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 711.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 747.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 783.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [390.0, 819.0, 1069.0, 36.0], shoonya_3sEK9576YOPHAC, 5733650]
[paragraph, [388.0, 893.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 929.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 965.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1001.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1037.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1073.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1109.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1145.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1181.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1217.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [388.0, 1253.0, 1079.0, 36.0], shoonya_0sDWCWIMPODEX3, 5733650]
[paragraph, [491.0, 1304.0, 146.0, 36.0], shoonya_4sFBKJ9U21GN2W, 5733650]
[paragraph, [386.0, 1360.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1396.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1432.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1468.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1504.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1540.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1576.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1612.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1648.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1684.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1720.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [386.0, 1756.0, 1077.0, 36.0], shoonya_1s1BD9PURRC253, 5733650]
[paragraph, [389.0, 1827.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 1863.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 1899.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 1935.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 1971.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 2007.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 2043.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[paragraph, [389.0, 2079.0, 1078.0, 36.0], shoonya_2sT8W2PRSCWEXJ, 5733650]
[folio, [859.0, 2173.0, 556.0, 36.0], ZRBsgUfNLO, 5733650]
