[842, 595]
[folio, [233.0, 127.0, 111.0, 18.0], ZsH1Kwfmhq, 6513689]
[folio, [370.0, 127.0, 79.0, 18.0], amhIOGVlOz, 6513689]
[paragraph, [126.0, 159.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 177.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 195.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 213.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 231.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 249.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 267.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 285.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 303.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 321.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 339.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 357.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [126.0, 375.0, 331.0, 18.0], shoonya_0sOTOOHAGYI82M, 6513689]
[paragraph, [128.0, 406.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 424.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 442.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 460.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 478.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 496.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 514.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 532.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 550.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 568.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 586.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 604.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 622.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
[paragraph, [128.0, 640.0, 326.0, 18.0], -uo72Qk_1R, 6513689]
