[1565, 1152]
[headline, [100.0, 84.0, 764.0, 37.5], shoonya_6sP0VM2M9LUKXT, 5722839]
[headline, [100.0, 121.5, 764.0, 37.5], shoonya_6sP0VM2M9LUKXT, 5722839]
[author, [135.0, 197.0, 555.0, 36.0], P0E1ugi9nd, 5722839]
[paragraph, [84.0, 265.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [84.0, 301.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [84.0, 337.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [84.0, 373.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [84.0, 409.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [84.0, 445.0, 766.0, 36.0], shoonya_2sTRXSW4T6X8YT, 5722839]
[paragraph, [81.0, 508.0, 767.0, 36.0], shoonya_3sVIDPWZ588FD9, 5722839]
[paragraph, [81.0, 544.0, 767.0, 36.0], shoonya_3sVIDPWZ588FD9, 5722839]
[paragraph, [81.0, 580.0, 767.0, 36.0], shoonya_3sVIDPWZ588FD9, 5722839]
[paragraph, [78.0, 620.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [78.0, 656.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [78.0, 692.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [78.0, 728.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [78.0, 764.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [78.0, 800.0, 775.0, 36.0], shoonya_1sLE85DZO0TLS4, 5722839]
[paragraph, [871.0, 820.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 856.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 892.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 928.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 964.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1000.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1036.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1072.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1108.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1144.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1180.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1216.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1252.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [871.0, 1288.0, 223.0, 36.0], 8SwYOakeB2, 5722839]
[paragraph, [83.0, 872.0, 765.0, 36.0], shoonya_5sX8CI94R3NCKZ, 5722839]
[paragraph, [83.0, 908.0, 765.0, 36.0], shoonya_5sX8CI94R3NCKZ, 5722839]
[paragraph, [83.0, 967.0, 765.0, 36.0], shoonya_4s9NF5HSGZRJMH, 5722839]
[paragraph, [83.0, 1003.0, 765.0, 36.0], shoonya_4s9NF5HSGZRJMH, 5722839]
[paragraph, [83.0, 1039.0, 765.0, 36.0], shoonya_4s9NF5HSGZRJMH, 5722839]
[paragraph, [83.0, 1075.0, 765.0, 36.0], shoonya_4s9NF5HSGZRJMH, 5722839]
[paragraph, [82.0, 1148.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1184.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1220.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1256.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1292.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1328.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1364.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[paragraph, [82.0, 1400.0, 767.0, 36.0], shoonya_0s71L73A0GVH7S, 5722839]
[author, [870.0, 1334.0, 222.0, 36.0], shoonya_7sW4M0T0FHT5Y0, 5722839]
