[1650, 1275]
[folio, [544.0, 141.0, 186.0, 36.0], Z1FVT1amw6, 5706957]
[folio, [259.0, 222.0, 751.0, 36.0], nz2348b3tU, 5706957]
[paragraph, [148.0, 292.0, 933.0, 36.0], shoonya_0sP5V6953NY1NK, 5706957]
[paragraph, [148.0, 328.0, 933.0, 36.0], shoonya_0sP5V6953NY1NK, 5706957]
[ordered-list, [136.0, 382.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 418.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 454.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 490.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 526.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 562.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 598.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 634.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 670.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 706.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 742.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 778.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 814.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 850.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 886.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 922.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 958.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 994.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1030.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1066.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1102.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1138.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1174.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1210.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[ordered-list, [136.0, 1246.0, 872.0, 36.0], JX8E1MxBwu, 5706957]
[sub-ordered-list, [224.0, 431.0, 541.0, 36.0], XWMNRsFLaZ, 5706957]
[sub-ordered-list, [224.0, 467.0, 541.0, 36.0], XWMNRsFLaZ, 5706957]
[sub-ordered-list, [224.0, 503.0, 541.0, 36.0], XWMNRsFLaZ, 5706957]
[sub-ordered-list, [232.0, 624.0, 776.0, 36.0], AYWXW2ZKWw, 5706957]
[sub-ordered-list, [232.0, 660.0, 776.0, 36.0], AYWXW2ZKWw, 5706957]
[sub-ordered-list, [232.0, 696.0, 776.0, 36.0], AYWXW2ZKWw, 5706957]
[sub-ordered-list, [232.0, 813.0, 318.0, 36.0], xKIi0A2WZn, 5706957]
[sub-ordered-list, [232.0, 849.0, 318.0, 36.0], xKIi0A2WZn, 5706957]
[sub-ordered-list, [232.0, 885.0, 318.0, 36.0], xKIi0A2WZn, 5706957]
[sub-ordered-list, [232.0, 921.0, 318.0, 36.0], xKIi0A2WZn, 5706957]
[subsub-ordered-list, [294.0, 885.0, 214.0, 18.0], lwf0o4zymq, 5706957]
[subsub-ordered-list, [294.0, 903.0, 214.0, 18.0], lwf0o4zymq, 5706957]
[subsub-ordered-list, [294.0, 921.0, 214.0, 18.0], lwf0o4zymq, 5706957]
[subsub-ordered-list, [294.0, 939.0, 214.0, 18.0], lwf0o4zymq, 5706957]
[sub-ordered-list, [233.0, 1038.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1074.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1110.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1146.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1182.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1218.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
[sub-ordered-list, [233.0, 1254.0, 235.0, 36.0], 5qJExqlUZE, 5706957]
