[1492, 1000]
[folio, [417.0, 154.0, 206.0, 18.0], shoonya_2s8TUBILDDL8WF, 5719932]
[paragraph, [146.0, 200.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 218.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 236.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 254.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 272.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 290.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 308.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 326.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 344.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 362.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 380.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 398.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 416.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 434.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 452.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 470.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 488.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 506.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 524.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 542.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 560.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 578.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 596.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 614.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 632.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 650.0, 753.0, 18.0], shoonya_0sHFHG11ME8TB5, 5719932]
[paragraph, [146.0, 677.0, 753.0, 18.0], O5CrC8KdlS, 5719932]
[paragraph, [146.0, 695.0, 753.0, 18.0], O5CrC8KdlS, 5719932]
[paragraph, [146.0, 713.0, 753.0, 18.0], O5CrC8KdlS, 5719932]
