[1200, 825]
[paragraph, [144.0, 110.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 128.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 146.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 164.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 182.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 200.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 218.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 236.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 254.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 272.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 290.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 308.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 326.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 344.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 362.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 380.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 398.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 416.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 434.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 452.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 470.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 488.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 506.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 524.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 542.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 560.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 578.0, 540.0, 18.0], shoonya_1sLOCGKPS74ISC, 5691019]
[paragraph, [144.0, 598.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 616.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 634.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 652.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 670.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 688.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 706.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 724.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 742.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 760.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 778.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 796.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 814.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 832.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 850.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 868.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 886.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 904.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 922.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 940.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 958.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 976.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 994.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 1012.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
[paragraph, [144.0, 1030.0, 537.0, 18.0], shoonya_0sMA7FWJ29I1MV, 5691019]
