[792, 612]
[folio, [255.0, 77.0, 100.0, 18.0], UNtiwIL3an, 6493976]
[paragraph, [89.0, 110.0, 418.0, 18.0], d7aLkVxZEK, 6493976]
[paragraph, [89.0, 128.0, 418.0, 18.0], d7aLkVxZEK, 6493976]
[paragraph, [94.0, 162.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 180.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 198.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 216.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 234.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 252.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 270.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 288.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 306.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 324.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 342.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 360.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 378.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 396.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 414.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 432.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 450.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 468.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 486.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 504.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 522.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 540.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 558.0, 421.0, 18.0], kcS9jvxqyF, 6493976]
[paragraph, [94.0, 638.0, 420.0, 18.0], 1OTx_oX8yu, 6493976]
[paragraph, [94.0, 656.0, 420.0, 18.0], 1OTx_oX8yu, 6493976]
[paragraph, [94.0, 674.0, 420.0, 18.0], 1OTx_oX8yu, 6493976]
[paragraph, [94.0, 692.0, 420.0, 18.0], 1OTx_oX8yu, 6493976]
[paragraph, [94.0, 710.0, 420.0, 18.0], 1OTx_oX8yu, 6493976]
