[690, 512]
[folio, [202.0, 40.0, 93.0, 18.0], J1B23LF1zh, 6491913]
[paragraph, [256.0, 64.0, 216.0, 18.0], KKEppDl_gw, 6491913]
[paragraph, [24.0, 79.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [24.0, 97.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [24.0, 115.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [24.0, 133.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [24.0, 151.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [24.0, 169.0, 216.0, 18.0], SxgV268NOs, 6491913]
[paragraph, [254.0, 96.0, 212.0, 18.0], hgbuJkS7JI, 6491913]
[paragraph, [255.0, 134.0, 213.0, 18.0], 5UoI5z-SHg, 6491913]
[paragraph, [255.0, 152.0, 213.0, 18.0], 5UoI5z-SHg, 6491913]
[paragraph, [255.0, 170.0, 213.0, 18.0], 5UoI5z-SHg, 6491913]
[paragraph, [255.0, 188.0, 213.0, 18.0], 5UoI5z-SHg, 6491913]
[paragraph, [255.0, 206.0, 213.0, 18.0], 5UoI5z-SHg, 6491913]
[paragraph, [25.0, 198.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 216.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 234.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 252.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 270.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 288.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 306.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 324.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 342.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 360.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 378.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 396.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 414.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 432.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 450.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 468.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 486.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 504.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 522.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 540.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [25.0, 558.0, 214.0, 18.0], rRAMjX2gvs, 6491913]
[paragraph, [253.0, 232.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 250.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 268.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 286.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 304.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 322.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 340.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 358.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 376.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 394.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 412.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 430.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 448.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 466.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 484.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 502.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 520.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 538.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 556.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 574.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 592.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [253.0, 610.0, 215.0, 18.0], Lho7xArXMW, 6491913]
[paragraph, [20.0, 583.0, 215.0, 18.0], i_CKZS_Od9, 6491913]
[paragraph, [60.0, 619.0, 175.0, 18.0], NaMfkggjOV, 6491913]
