[2000, 1414]
[headline, [70.0, 42.0, 1145.0, 67.5], shoonya_3sHJJIBMS9ZIMW, 6533806]
[headline, [70.0, 109.5, 1145.0, 67.5], shoonya_3sHJJIBMS9ZIMW, 6533806]
[headline, [70.0, 177.0, 1145.0, 67.5], shoonya_3sHJJIBMS9ZIMW, 6533806]
[headline, [70.0, 244.5, 1145.0, 67.5], shoonya_3sHJJIBMS9ZIMW, 6533806]
[paragraph, [718.0, 1141.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [718.0, 1177.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [718.0, 1213.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [718.0, 1249.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [718.0, 1285.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [718.0, 1321.0, 566.0, 36.0], shoonya_4sGJPWISCLH0SH, 6533806]
[paragraph, [73.0, 1146.0, 566.0, 36.0], shoonya_6sTO0HTSXBQ1LB, 6533806]
[paragraph, [73.0, 1182.0, 566.0, 36.0], shoonya_6sTO0HTSXBQ1LB, 6533806]
[paragraph, [73.0, 1218.0, 566.0, 36.0], shoonya_6sTO0HTSXBQ1LB, 6533806]
[paragraph, [73.0, 1254.0, 566.0, 36.0], shoonya_6sTO0HTSXBQ1LB, 6533806]
[paragraph, [73.0, 1290.0, 566.0, 36.0], shoonya_6sTO0HTSXBQ1LB, 6533806]
[paragraph, [76.0, 1458.0, 566.0, 36.0], shoonya_2sW8JIXI3GMKH1, 6533806]
[paragraph, [76.0, 1494.0, 566.0, 36.0], shoonya_2sW8JIXI3GMKH1, 6533806]
[paragraph, [76.0, 1530.0, 566.0, 36.0], shoonya_2sW8JIXI3GMKH1, 6533806]
[paragraph, [76.0, 1566.0, 566.0, 36.0], shoonya_2sW8JIXI3GMKH1, 6533806]
[paragraph, [76.0, 1602.0, 566.0, 36.0], shoonya_2sW8JIXI3GMKH1, 6533806]
[paragraph, [716.0, 1459.0, 566.0, 36.0], shoonya_1sW4F9ZHWNO0KL, 6533806]
[paragraph, [716.0, 1495.0, 566.0, 36.0], shoonya_1sW4F9ZHWNO0KL, 6533806]
[paragraph, [716.0, 1531.0, 566.0, 36.0], shoonya_1sW4F9ZHWNO0KL, 6533806]
[paragraph, [716.0, 1567.0, 566.0, 36.0], shoonya_1sW4F9ZHWNO0KL, 6533806]
[paragraph, [716.0, 1603.0, 566.0, 36.0], shoonya_1sW4F9ZHWNO0KL, 6533806]
