[1650, 1275]
[paragraph, [141.0, 143.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 179.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 215.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 251.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 287.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 323.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [141.0, 359.0, 997.0, 36.0], shoonya_0sVTUMGUYZQ7NV, 6468940]
[paragraph, [138.0, 433.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 469.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 505.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 541.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 577.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 613.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 649.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 685.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 721.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 757.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 793.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 829.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 865.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 901.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 937.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 973.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[paragraph, [138.0, 1009.0, 1001.0, 36.0], 49lyBkV_YX, 6468940]
[unordered-list, [138.0, 1092.0, 802.0, 36.0], qHHh7B4i4x, 6468940]
[unordered-list, [138.0, 1128.0, 802.0, 36.0], qHHh7B4i4x, 6468940]
[unordered-list, [138.0, 1164.0, 802.0, 36.0], qHHh7B4i4x, 6468940]
[paragraph, [136.0, 1223.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[paragraph, [136.0, 1259.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[paragraph, [136.0, 1295.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[paragraph, [136.0, 1331.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[paragraph, [136.0, 1367.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[paragraph, [136.0, 1403.0, 1001.0, 36.0], oFgkbCCZa4, 6468940]
[folio, [896.0, 1517.0, 218.0, 36.0], MLsAssA86V, 6468940]
