[2339, 1653]
[paragraph, [238.0, 206.0, 1177.0, 36.0], shoonya_1sG9F0Z3LCJT78, 5687354]
[paragraph, [238.0, 242.0, 1177.0, 36.0], shoonya_1sG9F0Z3LCJT78, 5687354]
[paragraph, [238.0, 278.0, 1177.0, 36.0], shoonya_1sG9F0Z3LCJT78, 5687354]
[paragraph, [238.0, 314.0, 1177.0, 36.0], shoonya_1sG9F0Z3LCJT78, 5687354]
[paragraph, [238.0, 350.0, 1177.0, 36.0], shoonya_1sG9F0Z3LCJT78, 5687354]
[unordered-list, [236.0, 432.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 468.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 504.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 540.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 576.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 612.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 648.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 684.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 720.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 756.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 792.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 828.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 864.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 900.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 936.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[unordered-list, [236.0, 972.0, 1178.0, 36.0], shoonya_2sY36AW579HOHV, 5687354]
[paragraph, [236.0, 1033.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1069.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1105.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1141.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1177.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1213.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1249.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1285.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1321.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1357.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1393.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1429.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1465.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1501.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1537.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1573.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1609.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1645.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1681.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [236.0, 1717.0, 1178.0, 36.0], shoonya_3sRVJPBM34LB98, 5687354]
[paragraph, [240.0, 1788.0, 1177.0, 36.0], shoonya_0sQMMWQ3EUH9ND, 5687354]
[paragraph, [240.0, 1824.0, 1177.0, 36.0], shoonya_0sQMMWQ3EUH9ND, 5687354]
[paragraph, [240.0, 1860.0, 1177.0, 36.0], shoonya_0sQMMWQ3EUH9ND, 5687354]
[paragraph, [239.0, 1944.0, 1181.0, 36.0], Oy0jOQAhMs, 5687354]
[paragraph, [239.0, 1980.0, 1181.0, 36.0], Oy0jOQAhMs, 5687354]
[paragraph, [239.0, 2016.0, 1181.0, 36.0], Oy0jOQAhMs, 5687354]
