[1388, 886]
[folio, [374.0, 60.0, 142.0, 18.0], shoonya_1s4JVHFJFRF2S9, 5742568]
[paragraph, [451.0, 118.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 136.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 154.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 172.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 190.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 208.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 226.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 244.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 262.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 280.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 298.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 316.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 334.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 352.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 370.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 388.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 406.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 424.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 442.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 460.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 478.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 496.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 514.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [451.0, 532.0, 400.0, 18.0], shoonya_2sKCP8UNUX6YQA, 5742568]
[paragraph, [30.0, 135.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 153.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 171.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 189.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 207.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 225.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 243.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 261.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 279.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 297.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 315.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 333.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
[paragraph, [30.0, 351.0, 403.0, 18.0], shoonya_3sTMTQC4MNUVDS, 5742568]
