[1200, 825]
[section-title, [364.0, 325.0, 102.0, 30.0], shoonya_0sLKKR43DT7EK1, 5691350]
[paragraph, [137.0, 385.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 403.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 421.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 439.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 457.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 475.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 493.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 511.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 529.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 547.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 565.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 583.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 601.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 619.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 637.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 655.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 673.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 691.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 709.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [137.0, 727.0, 548.0, 18.0], nlrWKzfa8p, 5691350]
[paragraph, [142.0, 756.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 774.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 792.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 810.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 828.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 846.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 864.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 882.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 900.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 918.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 936.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [142.0, 954.0, 542.0, 18.0], T6VlNlilEM, 5691350]
[paragraph, [144.0, 985.0, 539.0, 18.0], -CzIthgig8, 5691350]
[paragraph, [144.0, 1003.0, 539.0, 18.0], -CzIthgig8, 5691350]
[paragraph, [144.0, 1021.0, 539.0, 18.0], -CzIthgig8, 5691350]
