[1601, 1158]
[sidebar, [1025.0, 0.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 36.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 72.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 108.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 144.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 180.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 216.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 252.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 288.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 324.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 360.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 396.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 432.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 468.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 504.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 540.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 576.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 612.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 648.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 684.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 720.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 756.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 792.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 828.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 864.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 900.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 936.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1008.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1044.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1080.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1116.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1152.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1188.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1224.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1260.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1296.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1332.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1368.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1404.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1440.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1476.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1512.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[sidebar, [1025.0, 1548.0, 126.0, 36.0], 1pnphlx9xO, 5695867]
[paragraph, [455.0, 89.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 125.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 161.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 197.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 233.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 269.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 305.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 341.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 377.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 413.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [455.0, 449.0, 558.0, 36.0], shoonya_0s8QOEHK8DPNDF, 5695867]
[paragraph, [454.0, 502.0, 567.0, 36.0], shoonya_3s4N638D31RL4W, 5695867]
[paragraph, [454.0, 538.0, 567.0, 36.0], shoonya_3s4N638D31RL4W, 5695867]
[paragraph, [454.0, 574.0, 567.0, 36.0], shoonya_3s4N638D31RL4W, 5695867]
